producto_url,nombre,precio_lista_habitual,precio_oferta_final,precio_sin_impuestos,memoria_ram,camara_frontal,fecha_scrapeo,Tipo de pantalla,Tamaño de la pantalla,Resistente al agua,Velocidad de la CPU,Tipo de procesador,Batería,Cámara trasera,Dual SIM,Memoria externa incluida,Carga rápida,Lector de huella,Conexión Bluetooth,NFC,GPS integrado,Información adicional,Tecnología AI
https://www.cetrogar.com.ar/celular-tecno-mobile-kl7-spark-30-pro-8gb-256gb-artic-glow.html,Celular Tecno Mobile KL7 Spark 30 Pro 8GB 256GB Artic Glow,$599.999,$419.999,$347.106,8GB,13MP,2025-06-25,OLED,"6.78""",No,built in CPU/1.0GHz,,5000mAh,108M+Light sensor,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-neo-2-nubia-5g-8-256gb-amarillo.html,"Celular Nubia Neo 2 6.7"" 5G 8GB 256GB amarillo",$455.999,$419.999,$347.106,8GB,16 MPX,2025-06-25,IPS,"6.7""",No,2700 Mhz,Octa Core,5000 mAh,50 MPX,No,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-neo-2-nubia-6-7-8-256gb-gris.html,"Celular Nubia Neo 2 6.7"" 8GB 256GB gris",$455.999,$419.999,$347.106,8GB,32M FF,2025-06-25,AMOLED,"6.7""",No,2.84 GHz,Quad Core,4.500 mAh,50M AF+2M FF,Sí,No,Sí,No,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-neo-2-nubia-6-7-8-256gb-plateado.html,"Celular Neo 2 Nubia 6.7"" 8GB 256GB plateado",$455.999,$419.999,$347.106,8GB,32M FF,2025-06-25,AMOLED,"6.7""",No,2.84 GHz,Quad Core,4.500 mAh,50M AF+2M FF,Sí,No,Sí,No,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-pova-tecno-mobile-6-78-8-256gb-comet-green.html,"Celular Tecno Mobile Pova 6 6.78"" 8GB 256GB comet green",$599.999,$425.999,$352.065,8GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-pova-tecno-mobile-6-78-8-256gb-interstellar-blue.html,"Celular Tecno Mobile Pova 6 6.78"" 8GB 256GB interstellar blue",$599.999,$425.999,$352.065,8GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-pova-tecno-mobile-6-78-8-256gb-meteorite-grey.html,"Celular Tecno Mobile Pova 6 6.78"" 8GB 256GB meteorite grey",$599.999,$425.999,$352.065,8GB,32MP,2025-06-25,OLED,"6.78""",No,2.2 GHz,Octa Core,6000mAH,108MP,Sí,No,Sí,Sí,Sí,Sí,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-note-13-6-6-6-128gb-ice-blue.html,"Celular Xiaomi Redmi Note 13 6.6"" 6GB 128GB Ice blue",$449.999,$429.999,$355.371,6GB,16 MP,2025-06-25,AMOLED,"6.6""",No,4x2.8 GHz,Octa Core,Li-Po 5000 mAh,108 MP,Sí,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-note-13-6-6-6-128gb-black.html,"Celular Xiaomi Redmi Note 13 6.6"" 6GB blanco",$449.999,$429.999,$355.371,6GB,16 MP,2025-06-25,AMOLED,"6.6""",No,4x2.8 GHz,Octa Core,Li-Po 5000 mAh,108 MP,Sí,No,Sí,Sí,Sí,No,Sí,,
https://www.cetrogar.com.ar/celular-xiaomi-note-13-6-6-6-128gb-green.html,"Celular Xiaomi Redmi Note 13 6.6"" 6GB 128GB green",$449.999,$429.999,$355.371,6GB,16 MP,2025-06-25,AMOLED,"6.6""",No,4x2.8 GHz,Octa Core,Li-Po 5000 mAh,108 MP,Sí,No,Sí,Sí,Sí,No,Sí,,
