producto_url,nombre,Precio_comprador,Precio_anterior,precio_sin_impuestos,financiacion_plazo,Modelo,Cámara frontal,Sistema Operativo,Tipo de SIM (no incluida),Red,Frecuencia 2G,Frecuencia 3G,Frecuencia 4G,Frecuencia 5G,Batería,Memoria RAM,Memoria Interna,Peso,Dimensión del equipo,Llamadas por WiFi,NFC,Sensores,Cámara trasera,Display,Procesador,Celular Liberado,Memoria Externa,Cargador,Características,Auriculares,Cable USB C,Cover,Otros,sitio
https://tienda.claro.com.ar/pdp/equipos/moto-e15-64gb,Moto E15 64GB,$160.649,$188.999,$132.768,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2523-8,8,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40 y 66.",,5200 mAh,2,64 GB | Disponibles 50 GB,192 g,"165,6 x 75 x 8,1 mm",Si,No,,32 mpx con flash LED | Zoom digital 5x,"6,67'' HD+",Octa Core 2 Ghz,Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/moto-g05-64gb,Moto G05 64GB,$195.499,$229.999,$161.570,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2523-2,8,Android 15,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38, 40 y 66.",,5200 mAh,4,64 GB | Disponibles 42 GB,192 g,"165,6 x 75,9 x 8,1 mm",Si,No,,50 mpx con flash LED | Zoom digital 6x,"6,67'' Full HD+",Octa Core 2 GHz,Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/moto-g24-128gb?color=verde,Moto G24 128GB,$246.499,$289.999,$203.718,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2423-1,8,Android 14,Nano-SIM,"2G, 3G, 4G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 13, 26, 28, 38 y 66.",,5000 mAh,4,128 GB | Disponibles 107 GB,180 g,"163,4 x 74,5 x 7,9 mm",Si,No,"Proximidad, luminosidad, giroscopio, acelerómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Dual,6.56'' HD+ IPS,Octa Core 2.0 GHz,Si,MicroSD hasta 512 GB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s24-fan-edition-5g-256gb,Samsung Galaxy S24 FE 5G 256GB,$1.499.999,,$1.239.669,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-S721B,10,Android 14,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28 y 66.","Bandas 1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 66, 77 y 78.",4700 mAh,8,256 GB | Disponibles 230 GB,213 g,"162 x 77,3 x 8,0 mm",Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, barómetro, magnetómetro y reconocimiento facial.",50 mpx con flash LED | Triple | Zoom digital 10x | Zoom óptico 3x,6.7'' Full HD+,"Deca Core 3.1 GHz, 2.9 GHz, 2.6 GHz, 1.95GHz.",Si,No,,Inteligencia Artificial - AI,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/moto-g35-5g-128gb,Moto G35 5G 128GB,$359.999,,$297.520,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2433-2,16,Android 14,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 38, 40, 41, 42 y 66.","Bandas 1, 2, 3, 5, 7, 26, 28, 38, 40, 41, 66 y 78.",5000 mAh,4,128 GB | Disponibles 115 GB,191 g,"169,6 x 76,8 x 57,3 mm",Si,Si,,50 mpx con flash LED | Dual | Zoom digital 6x,"6,72'' Full HD+",Octa Core 2.2 GHz,Si,MicroSD hasta 1 TB,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/motorola-edge-50-5g-256gb,Motorola Edge 50 5G 256GB,$839.999,,$694.214,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2407-2,32,Android 14,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 25, 26, 28, 38, 40, 41, 42 y 66.","Bandas 1, 2, 3, 5, 7, 8, 28, 38, 40, 66 y 78.",5000 mAh,12,256 GB | Disponibles 232 GB,189 g,"160,8 x 72,4 x 7,7 mm",Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, magnetómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Triple,6.67 '' WQHD pOLED,Octa Core 2.5 GHz,Si,No,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a36-5g-256gb,Samsung Galaxy A36 5G 256GB,$899.999,,$743.801,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A366E,12,Android 15,Nano-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 40, 41 y 66.","Bandas 1, 3, 5, 7, 8, 26, 28, 38, 40, 41, 66, 77 y 78.",5000 mAh,8,256 GB | Disponibles 234 GB,195 g,162.9 x 78.2 x 7.4 mm,Si,Si,"Proximidad, luminosidad, giroscopio, magnetómetro, reconocimiento dactilar y facial.",50 mpx con flash LED | Triple | Zoom digital 10x,6.7'' FHD+ Super AMOLED,"Octa Core 2.4GHz,1.8GHz",Si,,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/motorola-edge-50-pro-5g-512gb,Motorola Edge 50 Pro 5G 512GB,$1.109.999,,$917.355,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,XT2403-2,50,Android 14,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 MHz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 5, 7, 8, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 42, 43 y 66.","Bandas 1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 66, 77 y 78.",4500 mAh,12,512 GB | Disponibles 486 GB,186 g,"161,2 x 72,4 x 8,1 mm",Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, magnetómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Triple,6.67 '' WQHD POLED,Octa Core 2.63 GHz,Si,No,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-a56-5g-256gb,Samsung Galaxy A56 5G 256GB,$999.999,,$826.445,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Hasta 12 cuotas fijas | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-A566E,12,Android 15,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 25, 26, 28, 38, 40, 41 y 66.","Bandas 1, 2, 3, 7, 38, 39, 40, 41, 65, 66, 76, 77 y 78.",5000 mAh,8,256 GB | Disponibles 235 GB,198 g,162.2 x 77.5 x 7.4 mm,Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, magnetómetro, reconocimiento dactilar y reconocimiento facial.",50 mpx con flash LED | Triple | Zoom digital 10x,6.7'' FHD+ Super AMOLED,"Octa Core 2.9GHz,2.6GHz,1.95GHz",Si,No,,,,,,,Claro
https://tienda.claro.com.ar/pdp/equipos/samsung-galaxy-s25-ultra-5g-512gb,Samsung Galaxy S25 Ultra 5G 512GB,$2.699.999,,$2.231.404,Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 12 cuotas con tarjeta de crédito | Hasta 6 cuotas con tarjeta de crédito | Con dinero en cuenta | Combiná ambos medios de pago | Combiná hasta 2 tarjetas de crédito | 1 cuota con tarjeta de crédito,SM-S938B,12,Android 15,Nano-SIM / e-SIM,"2G, 3G, 4G, 5G",850/900/1800/1900 Mhz,"Bandas 1, 2, 4, 5 y 8.","Bandas 1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 38, 39, 40, 41 y 66.","Bandas 1, 2, 7, 25, 39, 40, 65, 66, 76 y 77.",5000 mAh,12,512 GB,219 g,162.8 x 77.6 x 8.2 mm,Si,Si,"Proximidad, luminosidad, giroscopio, acelerómetro, barómetro, magnetómetro, reconocimiento dactilar y reconocimiento facial.",200 mpx con flash LED | Quad,6.9'' Quad HD+ Dynamic AMOLED 2X,"Octa Core 4.47GHz, 3.5GHz",Si,No,,Inteligencia Artificial - AI,,,,,Claro
